run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,CDF1,CDF2,CDF3,CocoaFlavanols,HighCarbohydrateDiet,KiwifruitCapsules,PsylliumHuskFiber,,,,,,,,,,
ERR262943,1200752,strain,0.853256,Escherichia coli NCCP15648,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,st__Escherichia coli NCCP15648__1200752,1,0.999875173536484,0.999857639257151,0.999865122867394,1,1,1,1,,
ERR262943,562,species,0.853256,Escherichia coli,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,1,0.869713868960974,0.868813752819785,0.869279392815666,1,1,0.999691471334147,0.998206478381735,,,
ERR262943,561,genus,0.853256,Escherichia,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,1,0.869305407655044,0.868404788767681,0.868870973767148,0.999997478504233,1,0.999671696054829,0.998101633061185,,,,
ERR262943,543,family,0.854124,Enterobacteriaceae,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,0.993925853369688,0.814514350484475,0.813384065383188,0.81381883291043,0.995544755395636,0.995877134055701,0.993329953698369,0.989683916113324,,,,,
ERR262943,91347,order,0.854124,Enterobacterales,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,0.992576480378526,0.810801123692387,0.809678028202996,0.810070579608292,0.994295102717063,0.994464559923298,0.992114426015309,0.98886775614597,,,,,,
ERR262943,1236,class,0.855909,Gammaproteobacteria,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,0.992060202425247,0.796093665249877,0.794172793611199,0.795145152701515,0.993716702972158,0.994059007365586,0.991528360400878,0.988267491732214,,,,,,,
ERR262943,1224,phylum,0.855909,Pseudomonadota,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,0.992060202425247,0.530652169978114,0.525954891014164,0.527774831595822,0.993713506896182,0.994059007365586,0.991528360400878,0.988186501489508,,,,,,,,
ERR262943,2,superkingdom,0.998001,Bacteria,n__cellular organisms__131567,sk__Bacteria__2,0.722242579699461,0.0002040399918384,0.0002040399918384,0.0002040399918384,0.909610283615523,0.807386247704495,0.909610283615523,0.444461555921349,,,,,,,,,
ERR262943,131567,no rank,0.998001,cellular organisms,n__cellular organisms__131567,0.652253572737213,0.0002040399918384,0.0002040399918384,0.0002040399918384,0.857988165680413,0.69108345235662,0.857988165680413,0.857988165680413,,,,,,,,,,
ERR262943,1410933,strain,0.000868,Salmonella enterica subsp. enterica serovar Muenster str. CFSAN004344,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,sus__Salmonella enterica subsp. enterica__59201,n__Salmonella enterica subsp. enterica serovar Muenster__82689,st__Salmonella enterica subsp. enterica serovar Muenster str. CFSAN004344__1410933,0.999868083546986,1,1,1,0.99983689490366,0.99984305839055,0.999813227992454,0.999717208593093
ERR262943,82689,no rank,0.000868,Salmonella enterica subsp. enterica serovar Muenster,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,sus__Salmonella enterica subsp. enterica__59201,n__Salmonella enterica subsp. enterica serovar Muenster__82689,0.999868083546986,1,1,1,0.99983689490366,0.99984305839055,0.999813227992454,0.999717208593093,
ERR262943,59201,subspecies,0.000868,Salmonella enterica subsp. enterica,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,sus__Salmonella enterica subsp. enterica__59201,0.99745586184668,1,1,1,0.997019758237761,0.997102289194792,0.996628723550417,0.994977502231485,,
ERR262943,28901,species,0.000868,Salmonella enterica,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,0.997089427255255,1,1,1,0.996611678254084,0.996694209211115,0.99622064356674,0.99436538225597,,,
ERR262943,590,genus,0.000868,Salmonella,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,0.997089427255255,1,1,1,0.996611678254084,0.996694209211115,0.99622064356674,0.99436538225597,,,,
ERR262943,1440766,strain,0.001785,Xanthomonas pisi DSM 18956,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,g__Xanthomonas__338,s__Xanthomonas pisi__56457,st__Xanthomonas pisi DSM 18956__1440766,1,1,1,1,1,1,1,1,,
ERR262943,56457,species,0.001785,Xanthomonas pisi,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,g__Xanthomonas__338,s__Xanthomonas pisi__56457,1,1,1,1,1,1,1,1,,,
ERR262943,338,genus,0.001785,Xanthomonas,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,g__Xanthomonas__338,0.999559458775564,1,1,1,0.999496553521973,0.999501155273646,0.999478883451415,0.999427473040911,,,,
ERR262943,32033,family,0.001785,Xanthomonadaceae,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,0.999009806888426,0.999877403259385,0.99987511412493,0.999876088421174,0.998884433546458,0.998889035298131,0.9988667634759,0.998815353065396,,,,,
ERR262943,135614,order,0.001785,Xanthomonadales,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,0.999009806888426,0.999877403259385,0.99987511412493,0.999876088421174,0.998884433546458,0.998889035298131,0.9988667634759,0.998815353065396,,,,,,
ERR262943,1680,species,0.009797,Bifidobacterium adolescentis,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium adolescentis__1680,0.771487317291572,0.797775430596011,0.794970099636947,0.794450204605897,0.763534497501712,0.765956881597155,0.753603843343032,0.724477399305074,,
ERR262943,1678,genus,0.012552,Bifidobacterium,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,0.56591308596339,0.528037577159319,0.554691242212873,0.525886459588073,0.803424711835585,0.56279324526799,0.545031762301834,0.495068172559638,,,
ERR262943,31953,family,0.012552,Bifidobacteriaceae,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,0.56591308596339,0.526502698029611,0.553080654273372,0.530525594015769,0.803424711835585,0.56279324526799,0.542411733940558,0.494321848358657,,,,
ERR262943,85004,order,0.012552,Bifidobacteriales,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,0.56591308596339,0.526502698029611,0.553080654273372,0.530525594015769,0.803424711835585,0.56279324526799,0.542411733940558,0.494321848358657,,,,,
ERR262943,1760,class,0.012552,Actinomycetes,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,0.561332653570573,0.519839888659355,0.54843714201512,0.522543609830191,0.802583911307646,0.559730767964385,0.538189015348521,0.488980460670039,,,,,,
ERR262943,201174,phylum,0.012552,Actinomycetota,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,0.451972960984334,0.337034518145854,0.37832861825421,0.345532727890694,0.739052281318646,0.439063528923674,0.4052711504582,0.337203291986706,,,,,,,
ERR262943,1783272,clade,0.0295949999999999,Terrabacteria group,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,0.0091076215072031,0.0002040399918384,0.0002040399918384,0.0002040399918384,0.0364134454616206,0.0212048120908964,0.123118440813557,0.483270579565328,,,,,,,,
ERR262943,1161745,strain,0.002755,Bifidobacterium longum subsp. longum 2-2B,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium longum__216816,sus__Bifidobacterium longum subsp. longum__1679,st__Bifidobacterium longum subsp. longum 2-2B__1161745,0.981624244815791,0.992803318410914,0.992751680058353,0.992772581862358,0.980659438358299,0.980741717309575,0.980506693773168,0.97921775523891
ERR262943,1679,subspecies,0.002755,Bifidobacterium longum subsp. longum,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium longum__216816,sus__Bifidobacterium longum subsp. longum__1679,0.821815791175316,0.908874502842548,0.90827020796126,0.908315656607976,0.815310801471356,0.817270570982299,0.810741042792408,0.796878468115518,
ERR262943,216816,species,0.002755,Bifidobacterium longum,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium longum__216816,0.606103171694917,0.784818746605742,0.780121429662764,0.777294283807482,0.591831906860924,0.597767877199508,0.577617010333176,0.529259038620612,,
ERR262943,2293203,species,0.0070309999999999,Ruminococcus sp. AM31-32,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,n__unclassified Ruminococcus__2608920,s__Ruminococcus sp. AM31-32__2293203,0.939003279022849,0.945469298984606,0.945371179816781,0.9454116668998,0.937111026282301,0.937140950790264,0.936996120436709,0.936502392582128,
ERR262943,2608920,no rank,0.0070309999999999,unclassified Ruminococcus,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,n__unclassified Ruminococcus__2608920,0.407961189797166,0.38908112055067,0.380561289006237,0.367120418003535,0.380435603476015,0.385048294322346,0.35948280460337,0.296927183902002,,
